Date,Open,High,Low,Close,Adj Close,Volume
5/15/1997,2.4375,2.5,1.927083,1.958333,1.958333,72156000
5/16/1997,1.96875,1.979167,1.708333,1.729167,1.729167,14700000
5/19/1997,1.760417,1.770833,1.625,1.708333,1.708333,6106800
5/20/1997,1.729167,1.75,1.635417,1.635417,1.635417,5467200
5/21/1997,1.635417,1.645833,1.375,1.427083,1.427083,18853200
5/22/1997,1.4375,1.447917,1.3125,1.395833,1.395833,11776800
5/23/1997,1.40625,1.520833,1.333333,1.5,1.5,15937200
5/27/1997,1.510417,1.645833,1.458333,1.583333,1.583333,8697600
5/28/1997,1.625,1.635417,1.53125,1.53125,1.53125,4574400
5/29/1997,1.541667,1.541667,1.479167,1.505208,1.505208,3472800
5/30/1997,1.5,1.510417,1.479167,1.5,1.5,2594400
6/2/1997,1.510417,1.53125,1.5,1.510417,1.510417,591600
6/3/1997,1.53125,1.53125,1.479167,1.479167,1.479167,1183200
6/4/1997,1.479167,1.489583,1.395833,1.416667,1.416667,3080400
6/5/1997,1.416667,1.541667,1.375,1.541667,1.541667,5672400
6/6/1997,1.515625,1.708333,1.510417,1.65625,1.65625,7807200
6/9/1997,1.65625,1.708333,1.65625,1.6875,1.6875,2352000
6/10/1997,1.708333,1.708333,1.53125,1.583333,1.583333,5458800
6/11/1997,1.59375,1.604167,1.53125,1.541667,1.541667,1188000
6/12/1997,1.583333,1.645833,1.552083,1.604167,1.604167,1632000
6/13/1997,1.625,1.625,1.583333,1.583333,1.583333,693600
6/16/1997,1.604167,1.604167,1.5625,1.572917,1.572917,913200
6/17/1997,1.598958,1.598958,1.494792,1.505208,1.505208,4706400
6/18/1997,1.520833,1.536458,1.5,1.510417,1.510417,2464800
6/19/1997,1.510417,1.53125,1.5,1.510417,1.510417,1003200
6/20/1997,1.53125,1.552083,1.5,1.526042,1.526042,3387600
6/23/1997,1.541667,1.541667,1.479167,1.5,1.5,1047600
6/24/1997,1.505208,1.526042,1.479167,1.510417,1.510417,751200
6/25/1997,1.526042,1.526042,1.489583,1.510417,1.510417,2106000
6/26/1997,1.520833,1.520833,1.505208,1.510417,1.510417,3189600
6/27/1997,1.515625,1.515625,1.479167,1.489583,1.489583,1188000
6/30/1997,1.510417,1.598958,1.479167,1.541667,1.541667,2746800
7/1/1997,1.541667,1.541667,1.510417,1.515625,1.515625,1292400
7/2/1997,1.515625,1.59375,1.510417,1.588542,1.588542,3882000
7/3/1997,1.598958,1.916667,1.59375,1.911458,1.911458,12577200
7/7/1997,1.833333,2.020833,1.833333,2,2,8053200
7/8/1997,2.041667,2.333333,2.041667,2.302083,2.302083,15517200
7/9/1997,2.302083,2.385417,2.270833,2.322917,2.322917,8262000
7/10/1997,2.333333,2.572917,2.333333,2.5625,2.5625,9051600
7/11/1997,2.520833,2.520833,2.208333,2.291667,2.291667,10531200
7/14/1997,2.322917,2.333333,2.114583,2.135417,2.135417,4604400
7/15/1997,2.135417,2.479167,2.135417,2.4375,2.4375,9274800
7/16/1997,2.447917,2.494792,2.302083,2.333333,2.333333,3024000
7/17/1997,2.34375,2.34375,2.15625,2.21875,2.21875,3169200
7/18/1997,2.1875,2.21875,2.15625,2.15625,2.15625,780000
7/21/1997,2.177083,2.197917,2.145833,2.182292,2.182292,574800
7/22/1997,2.166667,2.1875,2.0625,2.135417,2.135417,1563600
7/23/1997,2.1875,2.333333,2.177083,2.291667,2.291667,3259200
7/24/1997,2.302083,2.3125,2.21875,2.260417,2.260417,1216800
7/25/1997,2.21875,2.25,2.21875,2.229167,2.229167,620400
7/28/1997,2.229167,2.395833,2.21875,2.322917,2.322917,2574000
7/29/1997,2.364583,2.5,2.333333,2.479167,2.479167,4814400
7/30/1997,2.5,2.505208,2.427083,2.447917,2.447917,2517600
7/31/1997,2.4375,2.4375,2.333333,2.395833,2.395833,1454400
8/1/1997,2.34375,2.416667,2.25,2.416667,2.416667,3588000
8/4/1997,2.375,2.411458,2.302083,2.3125,2.3125,2671200
8/5/1997,2.333333,2.333333,2.145833,2.208333,2.208333,3032400
8/6/1997,2.208333,2.3125,2.1875,2.25,2.25,1243200
8/7/1997,2.25,2.260417,2.125,2.177083,2.177083,2034000
8/8/1997,2.166667,2.302083,2.104167,2.291667,2.291667,2211600
8/11/1997,2.291667,2.333333,2.25,2.328125,2.328125,1239600
8/12/1997,2.28125,2.302083,2.197917,2.197917,2.197917,571200
8/13/1997,2.229167,2.229167,2.166667,2.197917,2.197917,590400
8/14/1997,2.177083,2.25,2.119792,2.15625,2.15625,1041600
8/15/1997,2.135417,2.15625,1.9375,2.114583,2.114583,1597200
8/18/1997,2.052083,2.052083,1.96875,2.041667,2.041667,1784400
8/19/1997,2.09375,2.208333,2.052083,2.166667,2.166667,1003200
8/20/1997,2.1875,2.1875,2.072917,2.166667,2.166667,999600
8/21/1997,2.135417,2.171875,2.072917,2.114583,2.114583,624000
8/22/1997,2.104167,2.125,2.09375,2.125,2.125,712800
8/25/1997,2.104167,2.260417,2.104167,2.21875,2.21875,1126800
8/26/1997,2.239583,2.354167,2.229167,2.34375,2.34375,2574000
8/27/1997,2.307292,2.322917,2.25,2.317708,2.317708,1392000
8/28/1997,2.302083,2.395833,2.28125,2.375,2.375,1147200
8/29/1997,2.364583,2.375,2.322917,2.338542,2.338542,722400
9/2/1997,2.34375,2.375,2.333333,2.354167,2.354167,732000
9/3/1997,2.34375,2.416667,2.3125,2.333333,2.333333,1964400
9/4/1997,2.364583,2.552083,2.34375,2.552083,2.552083,3348000
9/5/1997,2.583333,2.666667,2.458333,2.5,2.5,1908000
9/8/1997,2.53125,3.020833,2.5,3,3,5648400
9/9/1997,3.140625,3.385417,3.026042,3.239583,3.239583,8971200
9/10/1997,3.3125,3.328125,3.125,3.302083,3.302083,3866400
9/11/1997,3.333333,3.333333,3.041667,3.15625,3.15625,4262400
9/12/1997,3.1875,3.697917,3.15625,3.6875,3.6875,3333600
9/15/1997,3.666667,3.677083,3.052083,3.09375,3.09375,5583600
9/16/1997,3.125,3.541667,3.119792,3.354167,3.354167,6432000
9/17/1997,3.458333,3.5,3.333333,3.40625,3.40625,2607600
9/18/1997,3.4375,3.46875,3.28125,3.291667,3.291667,2128800
9/19/1997,3.380208,4.083333,3.375,3.947917,3.947917,8929200
9/22/1997,4,4.677083,3.947917,4.5,4.5,16938000
9/23/1997,4.489583,4.645833,4.395833,4.625,4.625,7682400
9/24/1997,4.645833,4.8125,4.291667,4.375,4.375,8200800
9/25/1997,4.34375,4.354167,4.052083,4.078125,4.078125,4968000
9/26/1997,4.072917,4.260417,4.052083,4.166667,4.166667,2731200
9/29/1997,4.145833,4.1875,3.958333,4.041667,4.041667,2371200
9/30/1997,4,4.348958,3.802083,4.338542,4.338542,5254800
10/1/1997,4.4375,4.5,3.9375,4.020833,4.020833,4999200
10/2/1997,4.041667,4.177083,3.989583,4.010417,4.010417,1876800
10/3/1997,4.083333,4.125,3.979167,4.015625,4.015625,1164000
10/6/1997,4,4.125,3.942708,4.125,4.125,2028000
10/7/1997,4.083333,4.1875,4.041667,4.057292,4.057292,1742400
10/8/1997,4.145833,4.166667,3.984375,4.005208,4.005208,2806800
10/9/1997,4,4.020833,3.739583,3.75,3.75,3950400
10/10/1997,3.729167,4.0625,3.666667,3.901042,3.901042,3787200
10/13/1997,3.927083,4.041667,3.927083,4,4,814800
10/14/1997,4.0625,4.104167,3.833333,3.979167,3.979167,1546800
10/15/1997,3.96875,3.96875,3.770833,3.921875,3.921875,2355600
10/16/1997,3.979167,3.979167,3.604167,3.625,3.625,3481200
10/17/1997,3.614583,3.65625,3.520833,3.625,3.625,2534400
10/20/1997,3.677083,3.875,3.666667,3.822917,3.822917,4912800
10/21/1997,3.958333,4.4375,3.854167,4.427083,4.427083,12096000
10/22/1997,4.416667,4.619792,4.375,4.520833,4.520833,5208000
10/23/1997,4.229167,4.5625,4.1875,4.5,4.5,5656800
10/24/1997,4.75,5.0625,4.541667,5.026042,5.026042,9492000
10/27/1997,4.802083,5.010417,4.229167,4.270833,4.270833,6091200
10/28/1997,3.916667,5,3.875,4.947917,4.947917,11719200
10/29/1997,5.145833,5.5,5,5.390625,5.390625,7126800
10/30/1997,5.208333,5.354167,5.041667,5.125,5.125,4770000
10/31/1997,5.364583,5.458333,4.96875,5.083333,5.083333,5026800
11/3/1997,5.21875,5.21875,4.947917,5.072917,5.072917,1999200
11/4/1997,5,5.052083,4.822917,4.958333,4.958333,2365200
11/5/1997,4.979167,5.119792,4.875,4.875,4.875,3093600
11/6/1997,4.916667,4.916667,4.635417,4.661458,4.661458,2913600
11/7/1997,4.416667,4.640625,4.385417,4.479167,4.479167,2626800
11/10/1997,4.5,4.5625,4.208333,4.208333,4.208333,2764800
11/11/1997,4.244792,4.3125,3.916667,3.947917,3.947917,4312800
11/12/1997,3.776042,4.1875,3.666667,3.770833,3.770833,8683200
11/13/1997,3.947917,3.96875,3.770833,3.859375,3.859375,4290000
11/14/1997,3.9375,4.208333,3.78125,4.166667,4.166667,5869200
11/17/1997,4.229167,4.541667,4.21875,4.375,4.375,7394400
11/18/1997,4.375,4.479167,4.34375,4.416667,4.416667,1866000
11/19/1997,4.40625,4.520833,4.3125,4.510417,4.510417,2534400
11/20/1997,4.572917,4.604167,4.510417,4.583333,4.583333,5923200
11/21/1997,4.552083,4.583333,4.489583,4.489583,4.489583,2602800
11/24/1997,4.375,4.416667,4.229167,4.229167,4.229167,2019600
11/25/1997,4.239583,4.333333,4.041667,4.203125,4.203125,3304800
11/26/1997,4.239583,4.411458,4.239583,4.260417,4.260417,1630800
11/28/1997,4.270833,4.333333,4.114583,4.125,4.125,1603200
12/1/1997,4.239583,4.375,4.135417,4.270833,4.270833,2383200
12/2/1997,4.260417,4.302083,4.177083,4.234375,4.234375,1262400
12/3/1997,4.197917,4.375,4.1875,4.364583,4.364583,1290000
12/4/1997,4.401042,4.552083,4.385417,4.5,4.5,3038400
12/5/1997,4.4375,4.59375,4.354167,4.59375,4.59375,2661600
12/8/1997,4.541667,4.770833,4.520833,4.708333,4.708333,4766400
12/9/1997,4.666667,4.770833,4.604167,4.6875,4.6875,1332000
12/10/1997,4.583333,4.625,4.395833,4.510417,4.510417,1444800
12/11/1997,4.395833,4.833333,4.395833,4.6875,4.6875,5014800
12/12/1997,4.645833,4.802083,4.40625,4.541667,4.541667,2672400
12/15/1997,4.583333,4.666667,4.40625,4.583333,4.583333,1694400
12/16/1997,4.645833,4.645833,4.458333,4.458333,4.458333,1687200
12/17/1997,4.375,4.458333,4.255208,4.390625,4.390625,6140400
12/18/1997,4.354167,4.427083,4.229167,4.291667,4.291667,3204000
12/19/1997,4.229167,4.520833,4.166667,4.5,4.5,4753200
12/22/1997,4.5,4.78125,4.432292,4.697917,4.697917,4352400
12/23/1997,4.6875,4.739583,4.625,4.625,4.625,1177200
12/24/1997,4.625,4.708333,4.46875,4.604167,4.604167,2336400
12/26/1997,4.5625,4.645833,4.489583,4.520833,4.520833,487200
12/29/1997,4.583333,4.78125,4.53125,4.75,4.75,2552400
12/30/1997,4.833333,4.90625,4.78125,4.848958,4.848958,6285600
12/31/1997,4.875,5.041667,4.84375,5.020833,5.020833,4446000
1/2/1998,5,5,4.796875,4.958333,4.958333,1660800
1/5/1998,4.885417,4.9375,4.708333,4.75,4.75,3590400
1/6/1998,4.697917,4.875,4.666667,4.838542,4.838542,4174800
1/7/1998,4.833333,4.833333,4.692708,4.78125,4.78125,2725200
1/8/1998,4.697917,4.703125,4.53125,4.614583,4.614583,6015600
1/9/1998,4.666667,4.666667,4.229167,4.260417,4.260417,6643200
1/12/1998,4.166667,4.385417,4.145833,4.302083,4.302083,7401600
1/13/1998,4.34375,4.666667,4.322917,4.645833,4.645833,7321200
1/14/1998,4.65625,4.875,4.625,4.875,4.875,8505600
1/15/1998,4.791667,5.010417,4.791667,4.953125,4.953125,6014400
1/16/1998,4.958333,4.979167,4.770833,4.791667,4.791667,2563200
1/20/1998,4.822917,5.010417,4.8125,4.953125,4.953125,5467200
1/21/1998,4.9375,5.166667,4.875,5.072917,5.072917,8738400
1/22/1998,5.072917,5.270833,5.020833,5.135417,5.135417,9471600
1/23/1998,5.34375,5.34375,4.9375,4.9375,4.9375,9118800
1/26/1998,4.979167,4.989583,4.739583,4.8125,4.8125,4712400
1/27/1998,4.817708,4.864583,4.666667,4.75,4.75,4104000
1/28/1998,4.75,4.833333,4.625,4.770833,4.770833,5293200
1/29/1998,4.791667,4.989583,4.78125,4.958333,4.958333,4836000
1/30/1998,5,5.0625,4.885417,4.916667,4.916667,3722400
2/2/1998,4.947917,5.208333,4.9375,5.197917,5.197917,6913200
2/3/1998,5.1875,5.25,5.09375,5.151042,5.151042,4429200
2/4/1998,5.0625,5.1875,5.052083,5.0625,5.0625,1234800
2/5/1998,5.114583,5.114583,4.875,4.9375,4.9375,5832000
2/6/1998,4.927083,5.020833,4.875,4.90625,4.90625,2122800
2/9/1998,4.916667,4.958333,4.770833,4.854167,4.854167,2626800
2/10/1998,4.875,5.317708,4.833333,5.302083,5.302083,12296400
2/11/1998,5.291667,5.463542,5.28125,5.291667,5.291667,6474000
2/12/1998,5.270833,5.302083,5.1875,5.260417,5.260417,3036000
2/13/1998,5.25,5.270833,5.145833,5.1875,5.1875,8420400
2/17/1998,5.21875,5.21875,5.072917,5.145833,5.145833,2376000
2/18/1998,5.145833,5.145833,5.052083,5.072917,5.072917,2971200
2/19/1998,5.109375,5.291667,5.083333,5.229167,5.229167,4436400
2/20/1998,5.229167,5.291667,5.114583,5.270833,5.270833,2703600
2/23/1998,5.291667,5.416667,5.208333,5.40625,5.40625,3978000
2/24/1998,5.416667,5.677083,5.354167,5.40625,5.40625,13945200
2/25/1998,5.46875,5.541667,5.260417,5.489583,5.489583,6745200
2/26/1998,5.463542,6.083333,5.4375,6.0625,6.0625,15373200
2/27/1998,6.020833,6.635417,5.984375,6.416667,6.416667,24706800
3/2/1998,6.322917,6.4375,6.25,6.354167,6.354167,10957200
3/3/1998,6.291667,6.3125,5.958333,5.979167,5.979167,8016000
3/4/1998,6,6.1875,5.833333,6.119792,6.119792,7314000
3/5/1998,5.979167,6.515625,5.9375,6.25,6.25,12001200
3/6/1998,6.302083,6.416667,6.145833,6.395833,6.395833,5887200
3/9/1998,6.40625,7.145833,6.395833,6.958333,6.958333,23055600
3/10/1998,7.125,7.354167,6.90625,6.925781,6.925781,24750000
3/11/1998,6.833333,6.875,6.520833,6.635417,6.635417,12349200
3/12/1998,6.5625,6.760417,6.427083,6.541667,6.541667,9799200
3/13/1998,6.635417,6.739583,6.479167,6.557292,6.557292,6523200
3/16/1998,6.630208,6.729167,6.583333,6.583333,6.583333,3312000
3/17/1998,6.645833,6.6875,6.489583,6.65625,6.65625,3100800
3/18/1998,6.604167,7.145833,6.604167,7.109375,7.109375,13659600
3/19/1998,7.114583,7.291667,6.979167,7,7,12115200
3/20/1998,7,7.072917,6.927083,7,7,6412800
3/23/1998,6.963542,7.0625,6.895833,6.984375,6.984375,3004800
3/24/1998,6.875,7.229167,6.875,7.020833,7.020833,5680800
3/25/1998,7.083333,7.145833,6.75,6.807292,6.807292,11289600
3/26/1998,6.8125,6.979167,6.625,6.895833,6.895833,7878000
3/27/1998,7.020833,7.260417,6.895833,7.083333,7.083333,7646400
3/30/1998,7.15625,7.291667,7.09375,7.15625,7.15625,5500800
3/31/1998,7.114583,7.208333,6.979167,7.127604,7.127604,6565200
4/1/1998,7.104167,7.53125,7.002604,7.510417,7.510417,14451600
4/2/1998,7.59375,8.0625,7.479167,7.921875,7.921875,16642800
4/3/1998,8.020833,8.03125,7.6875,7.75,7.75,11694000
4/6/1998,7.854167,7.895833,7.354167,7.385417,7.385417,11024400
4/7/1998,7.25,7.270833,7.0625,7.166667,7.166667,11634000
4/8/1998,7.197917,7.479167,7.125,7.385417,7.385417,11314800
4/9/1998,7.697917,8,7.635417,7.9375,7.9375,16034400
4/13/1998,7.90625,8.020833,7.666667,7.859375,7.859375,10980000
4/14/1998,7.822917,8.322917,7.770833,8.098958,8.098958,16323600
4/15/1998,8.166667,8.333333,7.875,8.010417,8.010417,11192400
4/16/1998,8.010417,8.276042,7.765625,8.208333,8.208333,16244400
4/17/1998,7.984375,8.104167,7.875,7.90625,7.90625,7035600
4/20/1998,7.947917,8.291667,7.8125,7.854167,7.854167,8979600
4/21/1998,7.9375,7.947917,7.59375,7.755208,7.755208,8354400
4/22/1998,7.770833,7.802083,7.25,7.270833,7.270833,11301600
4/23/1998,7.25,7.25,6.708333,6.75,6.75,12253200
4/24/1998,6.833333,7.3125,6.791667,7.072917,7.072917,16785600
4/27/1998,6.947917,7.052083,6.427083,6.895833,6.895833,18885600
4/28/1998,7.739583,8.291667,7.421875,7.96875,7.96875,69594000
4/29/1998,8.104167,8.21875,7.802083,7.958333,7.958333,31657200
4/30/1998,8.125,8.166667,7.541667,7.645833,7.645833,22485600
5/1/1998,7.729167,7.927083,7.541667,7.875,7.875,9307200
5/4/1998,7.916667,7.989583,7.78125,7.9375,7.9375,7735200
5/5/1998,7.833333,7.958333,7.760417,7.809896,7.809896,5998800
5/6/1998,7.833333,7.833333,7.510417,7.53125,7.53125,7438800
5/7/1998,7.583333,7.75,7.354167,7.583333,7.583333,13887600
5/8/1998,7.604167,7.729167,7.458333,7.697917,7.697917,4792800
5/11/1998,7.744792,7.75,7.208333,7.239583,7.239583,11372400
5/12/1998,7.3125,7.661458,7.21875,7.614583,7.614583,11636400
5/13/1998,7.541667,7.833333,7.479167,7.739583,7.739583,13944000
5/14/1998,7.666667,7.885417,7.583333,7.630208,7.630208,8600400
5/15/1998,7.65625,7.708333,7.458333,7.46875,7.46875,4628400
5/18/1998,7.5,7.552083,7.229167,7.338542,7.338542,6618000
5/19/1998,7.46875,7.552083,7.4375,7.53125,7.53125,3423600
5/20/1998,7.53125,7.625,7.354167,7.385417,7.385417,4048800
5/21/1998,7.458333,7.5,7.276042,7.395833,7.395833,3403200
5/22/1998,7.364583,7.385417,7.125,7.166667,7.166667,5862000
5/26/1998,7.171875,7.239583,6.739583,6.822917,6.822917,10884000
5/27/1998,6.697917,7.28125,6.645833,7.21875,7.21875,23234400
5/28/1998,7.270833,7.3125,7.104167,7.161458,7.161458,9412800
5/29/1998,7.15625,7.416667,7.125,7.34375,7.34375,8641200
6/1/1998,7.333333,7.375,6.942708,7.135417,7.135417,8043600
6/2/1998,7.270833,7.416667,6.916667,7.28125,7.28125,8201400
6/3/1998,7.479167,7.541667,7,7.041667,7.041667,6581400
6/4/1998,7.15625,7.322917,6.875,7.3125,7.3125,4995600
6/5/1998,7.291667,7.395833,7.1875,7.375,7.375,3427200
6/8/1998,7.302083,7.71875,7.25,7.708333,7.708333,5463000
6/9/1998,7.739583,8.645833,7.708333,8.541667,8.541667,19436400
6/10/1998,8.604167,9.375,8.5,9.020833,9.020833,24285000
6/11/1998,9.208333,10.4375,9.166667,10.416667,10.416667,35851200
6/12/1998,10.583333,10.583333,9.708333,10.166667,10.166667,21655800
6/15/1998,9.916667,11.416667,9.854167,10.958333,10.958333,33701400
6/16/1998,11.125,12.291667,11.083333,12.270833,12.270833,39167400
6/17/1998,12.645833,13.53125,12.5625,13.166667,13.166667,40265400
6/18/1998,13.5,13.75,11.958333,12.020833,12.020833,31639800
6/19/1998,11.84375,12.708333,11.333333,12.635417,12.635417,36678600
6/22/1998,12.458333,13.729167,12.041667,13.5625,13.5625,36318000
6/23/1998,13.510417,15.458333,13.416667,15.447917,15.447917,37463400
6/24/1998,15.833333,16.791668,14.854167,16.635418,16.635418,58704600
6/25/1998,16.666668,17.458332,16,16.510418,16.510418,54465000
6/26/1998,16.25,16.708332,15.625,15.708333,15.708333,31149600
