DATE,DFF
2022-12-10,3.83
2022-12-11,3.83
2022-12-12,3.83
2022-12-13,3.83
2022-12-14,3.83
2022-12-15,4.33
2022-12-16,4.33
2022-12-17,4.33
2022-12-18,4.33
2022-12-19,4.33
2022-12-20,4.33
2022-12-21,4.33
2022-12-22,4.33
2022-12-23,4.33
2022-12-24,4.33
2022-12-25,4.33
2022-12-26,4.33
2022-12-27,4.33
2022-12-28,4.33
2022-12-29,4.33
2022-12-30,4.33
2022-12-31,4.33
2023-01-01,4.33
2023-01-02,4.33
2023-01-03,4.33
2023-01-04,4.33
2023-01-05,4.33
2023-01-06,4.33
2023-01-07,4.33
2023-01-08,4.33
2023-01-09,4.33
2023-01-10,4.33
2023-01-11,4.33
2023-01-12,4.33
2023-01-13,4.33
2023-01-14,4.33
2023-01-15,4.33
2023-01-16,4.33
2023-01-17,4.33
2023-01-18,4.33
2023-01-19,4.33
2023-01-20,4.33
2023-01-21,4.33
2023-01-22,4.33
2023-01-23,4.33
2023-01-24,4.33
2023-01-25,4.33
2023-01-26,4.33
2023-01-27,4.33
2023-01-28,4.33
2023-01-29,4.33
2023-01-30,4.33
2023-01-31,4.33
2023-02-01,4.33
2023-02-02,4.58
2023-02-03,4.58
2023-02-04,4.58
2023-02-05,4.58
2023-02-06,4.58
2023-02-07,4.58
2023-02-08,4.58
2023-02-09,4.57
2023-02-10,4.58
2023-02-11,4.58
2023-02-12,4.58
2023-02-13,4.58
2023-02-14,4.58
2023-02-15,4.58
2023-02-16,4.58
2023-02-17,4.58
2023-02-18,4.58
2023-02-19,4.58
2023-02-20,4.58
2023-02-21,4.58
2023-02-22,4.58
2023-02-23,4.58
2023-02-24,4.58
2023-02-25,4.58
2023-02-26,4.58
2023-02-27,4.57
2023-02-28,4.57
2023-03-01,4.58
2023-03-02,4.57
2023-03-03,4.57
2023-03-04,4.57
2023-03-05,4.57
2023-03-06,4.57
2023-03-07,4.57
2023-03-08,4.57
2023-03-09,4.57
2023-03-10,4.57
2023-03-11,4.57
2023-03-12,4.57
2023-03-13,4.58
2023-03-14,4.58
2023-03-15,4.58
2023-03-16,4.58
2023-03-17,4.58
